Gene	Non-unique Gene name	Annotation	No. isolates	No. sequences	Avg sequences per isolate	Genome Fragment	Order within Fragment	Accessory Fragment	Accessory Order with Fragment	QC	Min group size nuc	Max group size nuc	Avg group size nuc	GCA_013335335.1	GCA_013335765.1	GCF_000020465.1	GCF_001509575.1	EMN001-megahit_021	GOY005-megahit_001	PES001-megahit_018	PLV001-megahit_001	PLV001-megahit_002	RIG001-megahit_014	specificity	COG_category	Description	Preferred_name	EC	KEGG_ko	KEGG_Module	KEGG_Reaction	KEGG_rclass	PFAMs
group_1209	dnaJ	Chaperone protein DnaJ	4	4	1	191	5033	95.0	1997.0		1205	1205	1205	01167	00031	01765	01400							C. limicola	J	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins	dnaJ	-	ko:K03686	-	-	-	DnaJ,DnaJ_C,DnaJ_CXXCXGXG
group_1210	hrcA	Heat-inducible transcription repressor HrcA	4	4	1	191	5038	95.0	2001.0		1073	1073	1073	01169	00029	01767	01398							C. limicola	K	Negative regulator of class I heat shock genes (grpE- dnaK-dnaJ and groELS operons). Prevents heat-shock induction of these operons	hrcA	-	ko:K03705	-	-	-	HrcA,HrcA_DNA-bdg
group_1211	proS	Proline--tRNA ligase	4	4	1	191	5041	95.0	2004.0		1445	1445	1445	01172	00026	01770	01395							C. limicola	J	Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro)	proS	6.1.1.15	ko:K01881	M00359,M00360	R03661	RC00055,RC00523	HGTP_anticodon,ProRS-C_1,tRNA-synt_2b
ahpC		Alkyl hydroperoxide reductase C	4	4	1	191	5042	95.0	2005.0		587	590	587	01173	00025	01771	01394							C. limicola	O	PFAM alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen	-	1.11.1.15	ko:K03386	-	-	-	1-cysPrx_C,AhpC-TSA
asrB		Anaerobic sulfite reductase subunit B	4	4	1	191	1799	95.0	3121.0		194	866	530	01176	00900	01242	01255							C. limicola	C	PFAM oxidoreductase FAD NAD(P)-binding domain protein	-	-	-	-	-	-	DHODB_Fe-S_bind,NAD_binding_1
group_1215		hypothetical protein	4	4	1	191	5786	99.0	246.0		911	914	911	01180	01385	02245	00858							C. limicola	S	Domain of unknown function (DUF4438)	-	-	-	-	-	-	DUF4438
group_1216		hypothetical protein	4	4	1	191	6272	96.0	1384.0		884	884	884	01183	00492	02537	00176							C. limicola	-	-	-	-	-	-	-	-	-
group_1222	lolE_1	Lipoprotein-releasing system transmembrane protein LolE	4	4	1	191	1734	95.0	3055.0		1250	1250	1250	01215	01030	01287	01873							C. limicola	M	FtsX-like permease family	-	-	ko:K09808	M00255	-	-	FtsX,MacB_PCD
group_1224		hypothetical protein	4	4	1	191	2179	95.0	3196.0		368	368	368	01221	01256	01189	01947							C. limicola	S	PFAM Dinitrogenase iron-molybdenum cofactor biosynthesis protein	-	-	-	-	-	-	Nitro_FeMo-Co
group_1227		hypothetical protein	4	4	1	191	1777	95.0	3096.0		686	1202	1073	01232	00881	01261	00771							C. limicola	P	TIGRFAM arsenite-activated ATPase ArsA	-	3.6.3.16	ko:K01551	-	-	-	ArsA_ATPase
group_1232		hypothetical protein	4	4	1	191	264	228.0	31.0		332	332	332	01266	01586	00418	01602							C. limicola	O	sequence-specific DNA binding	-	-	ko:K07108	-	-	-	HTH_3
group_1233	acnB	Aconitate hydratase B	4	4	1	191	720	230.0	9.0		1778	2570	2372	01270	00261	00540	01909							C. limicola	C	Belongs to the aconitase IPM isomerase family	-	4.2.1.3,4.2.1.99	ko:K01682	M00009,M00010,M00012,M00173	R01324,R01325,R01900,R04425	RC00497,RC00498,RC00618,RC01153	Aconitase,Aconitase_2_N,Aconitase_B_N
group_1234		N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase	4	4	1	191	5215	95.0	2175.0		1766	1766	1766	01273	02233	01912	01130							C. limicola	M	undecaprenyl-phosphate glucose phosphotransferase activity	gumM	2.4.1.187,2.4.1.252,2.7.8.40	ko:K05946,ko:K13657,ko:K13660,ko:K21303	-	R09733	RC00005,RC00049	Bac_transf,CoA_binding_3,Glyco_tran_WecB
group_1238		hypothetical protein	4	4	1	191	6483	95.0	3470.0	Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits	929	938	935	01292	00769	00063	00423							C. limicola	F	uridine kinase	-	-	-	-	-	-	-
group_1240	queC	7-cyano-7-deazaguanine synthase	4	4	1	191	785	96.0	334.0		680	767	745	01299	01225	00523	00704							C. limicola	F	Catalyzes the ATP-dependent conversion of 7-carboxy-7- deazaguanine (CDG) to 7-cyano-7-deazaguanine (preQ(0))	queC	6.3.4.20	ko:K06920	-	R09978	RC00959	QueC
group_1241	groL	60 kDa chaperonin	4	4	1	191	786	96.0	335.0		512	1643	1360	01300	01224	00522	00705							C. limicola	O	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions	-	-	ko:K04077	-	-	-	Cpn60_TCP1
group_1242		hypothetical protein	4	4	1	191	113	100.0	135.0		353	356	355	01307	00149	00356	01196							C. limicola	-	-	-	-	-	-	-	-	-
group_1243	kdsD	Arabinose 5-phosphate isomerase KdsD	4	4	1	191	112	100.0	136.0		980	980	980	01308	00148	00355	01195							C. limicola	M	Belongs to the SIS family. GutQ KpsF subfamily	-	5.3.1.13	ko:K06041	M00063	R01530	RC00541	CBS,SIS
group_1244	gatA	Glutamyl-tRNA(Gln) amidotransferase subunit A	4	4	1	191	110	100.0	138.0		1208	1424	1370	01310	00146	00353	01193							C. limicola	J	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln)	gatA	6.3.5.6,6.3.5.7	ko:K02433	-	R03905,R04212	RC00010	Amidase
group_1245	bamA_1	Outer membrane protein assembly factor BamA	4	4	1	191	107	100.0	141.0		2486	2495	2488	01312	00144	00351	00569							C. limicola	M	surface antigen variable number repeat protein	-	-	ko:K07277	-	-	-	Bac_surface_Ag,POTRA
group_1248	rplU	50S ribosomal protein L21	4	4	1	191	5061	95.0	2026.0		299	299	299	01317	01172	01785	01738							C. limicola	J	This protein binds to 23S rRNA in the presence of protein L20	rplU	-	ko:K02888	M00178	-	-	Ribosomal_L21p
group_1250	mutS	DNA mismatch repair protein MutS	4	4	1	191	5059	95.0	2023.0		2615	2660	2626	01319	00013	01783	01740							C. limicola	L	that it carries out the mismatch recognition step. This protein has a weak ATPase activity	mutS	-	ko:K03555	-	-	-	MutS_I,MutS_II,MutS_III,MutS_IV,MutS_V
group_1251	murC	UDP-N-acetylmuramate--L-alanine ligase	4	4	1	191	6391	95.0	3564.0		560	1400	1190	01323	01096	02591	01092							C. limicola	M	Belongs to the MurCDEF family	murC	6.3.2.8	ko:K01924	-	R03193	RC00064,RC00141	Mur_ligase,Mur_ligase_C,Mur_ligase_M
group_1260		hypothetical protein	4	4	1	191	6582	231.0	3.0		392	401	398	01356	01504	00163	01435							C. limicola	-	-	-	-	-	-	-	-	-
group_1261	pheS	Phenylalanine--tRNA ligase alpha subunit	4	4	1	191	6583	231.0	2.0		1025	1025	1025	01357	01505	00164	01436							C. limicola	J	Belongs to the class-II aminoacyl-tRNA synthetase family. Phe-tRNA synthetase alpha subunit type 1 subfamily	pheS	6.1.1.20	ko:K01889	M00359,M00360	R03660	RC00055,RC00523	Phe_tRNA-synt_N,tRNA-synt_2d
group_1264	hemC	Porphobilinogen deaminase	4	4	1	191	2797	97.0	699.0		941	998	955	01369	00670	00929	00687							C. limicola	F	Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps	hemC	2.5.1.61	ko:K01749	M00121	R00084	RC02317	Porphobil_deam,Porphobil_deamC
group_1265		hypothetical protein	4	4	1	191	2833	97.0	663.0		116	692	548	01375	00638	00897	00222							C. limicola	S	PFAM peptidase, membrane zinc metallopeptidase	-	-	ko:K06973	-	-	-	Zn_peptidase_2
group_1269		hypothetical protein	4	4	1	191	4741	95.0	1281.0		1307	1307	1307	01386	02017	01677	01526							C. limicola	-	-	-	-	-	-	-	-	-
group_1270		hypothetical protein	4	4	1	191	4742	95.0	1280.0		392	407	395	01387	02016	01678	01527							C. limicola	S	DoxX-like family	-	-	-	-	-	-	DoxX_3
group_1271	mdtC	Multidrug resistance protein MdtC	4	4	1	191	4744	95.0	1279.0		3125	3125	3125	01388	02015	01679	01528							C. limicola	V	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family	-	-	ko:K03296	-	-	-	ACR_tran
pstA1		hypothetical protein	4	4	1	191	4935	95.0	1796.0		431	1346	1117	01394	02009	01685	01534							C. limicola	P	TIGRFAM phosphate ABC transporter, inner membrane subunit PstA	-	-	ko:K02038	M00222	-	-	BPD_transp_1
group_1274	groS	10 kDa chaperonin	4	4	1	191	635	97.0	191.0		389	422	397	01403	00285	00564	00262							C. limicola	O	PFAM chaperonin Cpn10	-	-	-	-	-	-	Cpn10
group_1275		hypothetical protein	4	4	1	191	636	97.0	190.0		860	860	860	01404	00284	00563	00263							C. limicola	M	Involved in formation and maintenance of cell shape	-	-	ko:K03570	-	-	-	MreC
group_1276		hypothetical protein	4	4	1	191	638	97.0	189.0		491	491	491	01405	00283	00562	00264							C. limicola	M	TIGRFAM rod shape-determining protein MreD	-	-	-	-	-	-	-
group_1277		putative FAD-linked oxidoreductase	4	4	1	191	640	97.0	187.0		1487	1487	1487	01407	00281	00560	00266							C. limicola	C	PFAM FAD linked oxidase domain protein	-	1.1.2.4	ko:K00102	-	R00197	RC00044	FAD-oxidase_C,FAD_binding_4
group_1278	macB_1	Macrolide export ATP-binding/permease protein MacB	4	4	1	191	5339	95.0	2306.0		1973	1973	1973	01413	00223	02024	01719							C. limicola	V	Non-canonical ABC transporter that contains transmembrane domains (TMD), which form a pore in the inner membrane, and an ATP-binding domain (NBD), which is responsible for energy generation. Confers resistance against macrolides	macB	-	ko:K02004,ko:K05685	M00258,M00709	-	-	ABC_tran,FtsX,MacB_PCD
tadA_3		tRNA-specific adenosine deaminase	4	4	1	191	5336	95.0	2303.0		458	458	458	01416	00220	02021	01663							C. limicola	F	Catalyzes the deamination of adenosine to inosine at the wobble position 34 of tRNA(Arg2)	tadA	3.5.4.33	ko:K11991	-	R10223	RC00477	MafB19-deam
group_1280		hypothetical protein	4	4	1	191	6005	96.0	969.0		953	953	953	01420	01847	02409	00590							C. limicola	-	-	-	-	-	-	-	-	-
aseR		hypothetical protein	4	4	1	191	6004	96.0	968.0		284	284	284	01421	01846	02408	00589							C. limicola	K	PFAM regulatory protein ArsR	-	-	-	-	-	-	HTH_5
btuD_5		Vitamin B12 import ATP-binding protein BtuD	4	4	1	191	5994	96.0	959.0		746	755	752	01428	01839	02401	00581							C. limicola	P	PFAM ABC transporter related	-	-	ko:K09817	M00242	-	-	ABC_tran
group_1285		hypothetical protein	4	4	1	191	4739	95.0	1284.0		365	842	722	01436	02019	01675	01524							C. limicola	S	PFAM glycosyl transferase family 2	-	-	-	-	-	-	Glycos_transf_2
group_1286	lspA	Lipoprotein signal peptidase	4	4	1	191	5165	95.0	2131.0		137	506	413	01437	00826	01876	01245							C. limicola	MU	This protein specifically catalyzes the removal of signal peptides from prolipoproteins	lspA	3.4.23.36	ko:K03101	-	-	-	Peptidase_A8
group_1287	ppiB	putative peptidyl-prolyl cis-trans isomerase	4	4	1	191	5169	95.0	2134.0		485	491	489	01440	02200	01879	01242							C. limicola	O	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides	-	5.2.1.8	ko:K01802,ko:K03767	-	-	-	Pro_isomerase
group_1288		Pyridoxal phosphate homeostasis protein	4	4	1	191	5170	95.0	2135.0		689	689	689	01441	02201	01880	01241							C. limicola	S	Pyridoxal 5'-phosphate (PLP)-binding protein, which is involved in PLP homeostasis	-	-	ko:K06997	-	-	-	Ala_racemase_N
alaA		Glutamate-pyruvate aminotransferase AlaA	4	4	1	191	5171	95.0	2136.0		1250	1250	1250	01442	02202	01881	01240							C. limicola	E	PFAM aminotransferase, class I and II	-	-	-	-	-	-	Aminotran_1_2
group_1290	mtnA	Methylthioribose-1-phosphate isomerase	4	4	1	191	5173	95.0	2138.0		1064	1064	1064	01444	02204	01883	01238							C. limicola	J	Catalyzes the interconversion of methylthioribose-1- phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1- P)	mtnA	5.3.1.23	ko:K08963	M00034	R04420	RC01151	IF-2B
group_1291		hypothetical protein	4	4	1	191	5175	95.0	2140.0		671	671	671	01446	02206	01885	01236							C. limicola	C	PFAM cytochrome C oxidase mono-heme subunit FixO	-	-	ko:K00405	M00156	-	-	FixO
group_1293		hypothetical protein	4	4	1	191	373	228.0	86.0		3518	3518	3518	01461	00178	00385	00817							C. limicola	G	SMART alpha amylase, catalytic sub domain	-	-	-	-	-	-	Alpha-amylase
group_1294	glgA	Glycogen synthase	4	4	1	191	5837	99.0	213.0		1469	1469	1469	01466	01426	02273	00126							C. limicola	F	Synthesizes alpha-1,4-glucan chains using ADP-glucose	glgA	2.4.1.21	ko:K00703	M00565	R02421	RC00005	Glyco_transf_5,Glycos_transf_1
group_1296		hypothetical protein	4	4	1	191	5328	95.0	2292.0		272	272	272	01474	00213	02014	01654							C. limicola	S	Domain of unknown function (DUF4404)	-	-	-	-	-	-	DUF4404
group_1298		hypothetical protein	4	4	1	191	3375	95.0	3424.0		203	203	203	01487	00313	01007	01895							C. limicola	P	Protein of unknown function (DUF2892)	-	-	-	-	-	-	DUF2892
group_1299	aroG	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive	4	4	1	191	3374	95.0	3423.0		599	1061	945	01488	00312	01006	01896							C. limicola	E	Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP)	-	2.5.1.54	ko:K01626	M00022	R01826	RC00435	DAHP_synth_1
group_1300	pdxB	Erythronate-4-phosphate dehydrogenase	4	4	1	191	3373	95.0	3422.0		1313	1580	1513	01489	00311	01005	01695							C. limicola	EH	4-phosphoerythronate dehydrogenase activity	serA	1.1.1.399,1.1.1.95	ko:K00058	M00020	R01513	RC00031	2-Hacid_dh,2-Hacid_dh_C,ACT
swrC		Swarming motility protein SwrC	4	4	1	191	6040	96.0	1069.0		1841	3230	2882	01496	01870	02432	01561							C. limicola	V	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family	-	-	-	-	-	-	ACR_tran
purC		Phosphoribosylaminoimidazole-succinocarboxamide synthase	4	4	1	191	1818	95.0	3140.0		710	710	710	01500	00933	01226	00800							C. limicola	F	PFAM SAICAR synthetase	purC	6.3.2.6	ko:K01923	M00048	R04591	RC00064,RC00162	SAICAR_synt
pstC1		Phosphate transport system permease protein PstC 1	4	4	1	191	4937	95.0	1798.0		989	1166	1121	01503	02008	01686	01535							C. limicola	P	TIGRFAM phosphate ABC transporter, inner membrane subunit PstC	-	-	ko:K02037	M00222	-	-	BPD_transp_1
cysE_3		Serine acetyltransferase	4	4	1	191	5231	95.0	2191.0		494	494	494	01511	02244	01923	01141							C. limicola	E	serine acetyltransferase	-	2.3.1.30	ko:K00640	M00021	R00586	RC00004,RC00041	Hexapep
group_1305		hypothetical protein	4	4	1	191	3179	97.0	445.0		368	368	368	01517	00531	00783	00464							C. limicola	-	-	-	-	-	-	-	-	-
group_1306		hypothetical protein	4	4	1	191	3183	97.0	449.0		434	434	434	01519	00533	00785	00466							C. limicola	S	Photosystem P840 reaction centre protein PscD	-	-	ko:K08943	M00598	-	-	RC-P840_PscD
wecB		UDP-N-acetylglucosamine 2-epimerase	4	4	1	191	6180	96.0	1296.0		569	1109	974	01529	00979	02474	00480							C. limicola	M	Belongs to the UDP-N-acetylglucosamine 2-epimerase family	-	5.1.3.14	ko:K01791	M00362	R00420	RC00290	Epimerase_2
group_1311		hypothetical protein	4	4	1	191	5909	96.0	837.0		596	596	596	01533	01479	02326	01289							C. limicola	D	nucleotidyltransferase activity	fic	-	ko:K04095	-	-	-	Fic
rlpA_2		Endolytic peptidoglycan transglycosylase RlpA	4	4	1	191	6060	96.0	1092.0		239	323	302	01556	00917	02450	00962							C. limicola	M	Lytic transglycosylase with a strong preference for naked glycan strands that lack stem peptides	-	-	ko:K03642	-	-	-	DPBB_1
group_1318	fabF	3-oxoacyl-[acyl-carrier-protein] synthase 2	4	4	1	191	6611	229.0	19.0		239	1256	1001	01567	01517	00178	01449							C. limicola	I	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP	-	2.3.1.179	ko:K09458	M00083,M00572	R04355,R04726,R04952,R04957,R04960,R04963,R04968,R07762,R10115,R10119	RC00039,RC02728,RC02729,RC02888	Ketoacyl-synt_C,ketoacyl-synt
group_1319	fabH	3-oxoacyl-[acyl-carrier-protein] synthase 3	4	4	1	191	6620	96.0	642.0		986	986	986	01571	01521	00182	01053							C. limicola	I	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids	fabH	2.3.1.180	ko:K00648	M00082,M00083	R10707	RC00004,RC02729,RC02888	ACP_syn_III,ACP_syn_III_C
group_1320	plsX	Phosphate acyltransferase	4	4	1	191	6621	96.0	643.0		1025	1025	1025	01572	01522	00183	01054							C. limicola	I	Catalyzes the reversible formation of acyl-phosphate (acyl-PO(4)) from acyl- acyl-carrier-protein (acyl-ACP). This enzyme utilizes acyl-ACP as fatty acyl donor, but not acyl-CoA	plsX	2.3.1.15	ko:K03621	M00089	R00851,R09380	RC00004,RC00039,RC00041	FA_synthesis
iolG_3		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase	4	4	1	191	5346	95.0	2313.0		734	1133	1033	01579	00230	02031	01709							C. limicola	S	PFAM oxidoreductase domain protein	-	-	-	-	-	-	GFO_IDH_MocA,GFO_IDH_MocA_C
group_1322		hypothetical protein	4	4	1	191	3154	97.0	420.0		551	1343	1145	01582	00508	00760	01039							C. limicola	C	PFAM FAD-dependent pyridine nucleotide-disulphide oxidoreductase	-	1.6.99.3	ko:K03885	-	-	-	Pyr_redox_2
group_1324	aspS	Aspartate--tRNA ligase	4	4	1	191	4637	95.0	1390.0		935	1796	1580	01592	02065	01576	00562							C. limicola	J	Aspartyl-tRNA synthetase with relaxed tRNA specificity since it is able to aspartylate not only its cognate tRNA(Asp) but also tRNA(Asn). Reaction proceeds in two steps L-aspartate is first activated by ATP to form Asp-AMP and then transferred to the acceptor end of tRNA(Asp Asn)	aspS	6.1.1.12	ko:K01876	M00359,M00360	R05577	RC00055,RC00523	GAD,tRNA-synt_2,tRNA_anti-codon
group_1325	purQ	Phosphoribosylformylglycinamidine synthase subunit PurQ	4	4	1	191	4642	95.0	1385.0		608	707	682	01597	02060	01581	00539							C. limicola	F	Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL	purQ	6.3.5.3	ko:K01952	M00048	R04463	RC00010,RC01160	GATase_5
group_1330	argF	Ornithine carbamoyltransferase	4	4	1	191	1726	95.0	3047.0		740	1016	947	01620	01037	01294	01880							C. limicola	E	Reversibly catalyzes the transfer of the carbamoyl group from carbamoyl phosphate (CP) to the N(epsilon) atom of ornithine (ORN) to produce L-citrulline	argF	2.1.3.3	ko:K00611	M00029,M00844	R01398	RC00096	OTCace,OTCace_N
group_1331	argG	Argininosuccinate synthase	4	4	1	191	1724	95.0	3045.0		1202	1202	1202	01622	01039	01296	01882							C. limicola	F	Belongs to the argininosuccinate synthase family. Type 1 subfamily	argG	6.3.4.5	ko:K01940	M00029,M00844,M00845	R01954	RC00380,RC00629	Arginosuc_synth
prc_2		Tail-specific protease	4	4	1	191	1722	95.0	3043.0		2093	2093	2093	01624	01041	01298	01884							C. limicola	M	Belongs to the peptidase S41A family	-	3.4.21.102	ko:K03797	-	-	-	DUF3340,PDZ,Peptidase_S41
scmP		N-acetylcysteine deacetylase	4	4	1	191	1720	95.0	3041.0		860	1214	1125	01626	01043	01300	01886							C. limicola	S	peptidase dimerisation domain protein	-	-	ko:K01436	-	-	-	M20_dimer,Peptidase_M20
group_1334		hypothetical protein	4	4	1	191	1774	95.0	3093.0		269	269	269	01628	00877	01265	00775							C. limicola	K	TIGRFAM transcriptional regulator, AbrB family	-	-	-	-	-	-	MazE_antitoxin
group_1335		hypothetical protein	4	4	1	191	1763	95.0	3082.0		737	737	737	01630	00875	01267	00785							C. limicola									
group_1339	rfbB	dTDP-glucose 4,6-dehydratase	4	4	1	191	5142	95.0	2109.0		1049	1061	1052	01636	00806	01856	00197							C. limicola	M	Belongs to the NAD(P)-dependent epimerase dehydratase family. dTDP-glucose dehydratase subfamily	-	4.2.1.46	ko:K01710	M00793	R06513	RC00402	GDP_Man_Dehyd
galE		UDP-glucose 4-epimerase	4	4	1	191	5140	95.0	2106.0		992	992	992	01638	00804	01854	00199							C. limicola	M	Belongs to the NAD(P)-dependent epimerase dehydratase family	-	5.1.3.2	ko:K01784	M00361,M00362,M00632	R00291,R02984	RC00289	Epimerase
group_1342		hypothetical protein	4	4	1	191	5449	95.0	2459.0		455	455	455	01645	00747	02071	00317							C. limicola	-	-	-	-	-	-	-	-	-
group_1343	nth_2	Endonuclease III	4	4	1	191	5448	95.0	2458.0		638	638	638	01646	00748	02070	00316							C. limicola	L	DNA repair enzyme that has both DNA N-glycosylase activity and AP-lyase activity. The DNA N-glycosylase activity releases various damaged pyrimidines from DNA by cleaving the N- glycosidic bond, leaving an AP (apurinic apyrimidinic) site. The AP-lyase activity cleaves the phosphodiester bond 3' to the AP site by a beta-elimination, leaving a 3'-terminal unsaturated sugar and a product with a terminal 5'-phosphate	nth	4.2.99.18	ko:K10773	-	-	-	EndIII_4Fe-2S,HhH-GPD
group_1345	asd	Aspartate-semialdehyde dehydrogenase	4	4	1	191	5688	95.0	1614.0		1028	1028	1028	01649	01056	02212	01163							C. limicola	E	Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate	asd	1.2.1.11	ko:K00133	M00016,M00017,M00018,M00033,M00525,M00526,M00527	R02291	RC00684	Semialdhyde_dh,Semialdhyde_dhC
group_1346	tig	Trigger factor	4	4	1	191	5694	95.0	1607.0		1283	1283	1283	01655	01050	02218	01168							C. limicola	D	Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation. Functions as a peptidyl-prolyl cis-trans isomerase	tig	-	ko:K03545	-	-	-	Trigger_C,Trigger_N
group_1348		hypothetical protein	4	4	1	191	5076	95.0	2047.0		449	494	460	01666	01159	01798	00932							C. limicola	S	PFAM conserved	-	-	-	-	-	-	UPF0114
group_1349		hypothetical protein	4	4	1	191	5072	95.0	2042.0		317	848	715	01668	01161	01796	00928							C. limicola	S	Putative neutral zinc metallopeptidase	ypfJ	-	ko:K07054	-	-	-	Zn_peptidase
group_1353		hypothetical protein	4	4	1	191	4684	95.0	1352.0		191	191	191	01687	00458	01617	00453							C. limicola	S	Cysteine-rich CPXCG	-	-	-	-	-	-	Cys_rich_CPXG
group_1354	lysA	Diaminopimelate decarboxylase	4	4	1	191	4676	95.0	1355.0		1253	1253	1253	01691	00462	01613	00457							C. limicola	E	Specifically catalyzes the decarboxylation of meso- diaminopimelate (meso-DAP) to L-lysine	lysA	4.1.1.20	ko:K01586	M00016,M00525,M00526,M00527	R00451	RC00299	Orn_Arg_deC_N,Orn_DAP_Arg_deC
group_1355	metF	5,10-methylenetetrahydrofolate reductase	4	4	1	191	4675	95.0	1356.0		563	872	794	01692	00463	01612	00458							C. limicola	C	PFAM methylenetetrahydrofolate reductase	-	1.5.1.20	ko:K00297	M00377	R01224,R07168	RC00081	MTHFR
group_1356		hypothetical protein	4	4	1	191	1762	95.0	3081.0		203	359	242	01693	00874	01268	00786							C. limicola	E	Domain of unknown function (DU1801)	-	-	-	-	-	-	DUF1801
group_1358		hypothetical protein	4	4	1	191	5179	95.0	2143.0		1103	1103	1103	01705	02209	01888	01233							C. limicola	C	4 iron, 4 sulfur cluster binding	ccoG	-	-	-	-	-	Fer4_18,Fer4_5,FixG_C
group_1359		hypothetical protein	4	4	1	191	5182	95.0	2145.0		428	428	428	01707	02211	01890	01231							C. limicola	P	FixH	-	-	-	-	-	-	FixH,YtkA
group_1362	mrcA	Penicillin-binding protein 1A	4	4	1	191	6710	96.0	248.0		761	2279	1892	01717	01546	00257	01006							C. limicola	M	TIGRFAM penicillin-binding protein, 1A family	-	2.4.1.129,3.4.16.4	ko:K05366	-	-	-	Transgly,Transpeptidase
dedA_1		Protein DedA	4	4	1	191	6715	96.0	245.0		713	713	713	01719	01544	00259	00492							C. limicola	S	PFAM SNARE associated Golgi protein	-	-	ko:K03975	-	-	-	SNARE_assoc
group_1364		hypothetical protein	4	4	1	191	5229	95.0	2189.0		1775	1775	1775	01727	02242	01921	01139							C. limicola	S	polysaccharide biosynthetic process	-	-	-	-	-	-	MatE,Polysacc_synt,Polysacc_synt_3,Polysacc_synt_C
rsbW		Serine-protein kinase RsbW	4	4	1	191	5220	95.0	2180.0		422	422	422	01731	02238	01917	01135							C. limicola	T	sigma factor antagonist activity	-	2.7.11.1	ko:K04757	-	-	-	HATPase_c_2
rsbV		Anti-sigma-B factor antagonist	4	4	1	191	5219	95.0	2179.0		347	347	347	01732	02237	01916	01134							C. limicola	T	antisigma factor binding	rsbV	-	ko:K04749	-	-	-	STAS,STAS_2
rplM		50S ribosomal protein L13	4	4	1	191	894	96.0	495.0		449	449	449	01738	01189	00442	01822							C. limicola	J	This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly	rplM	-	ko:K02871	M00178,M00179	-	-	Ribosomal_L13
group_1368	pyrH	Uridylate kinase	4	4	1	191	898	96.0	502.0		731	791	776	01742	01193	00446	01826							C. limicola	F	Catalyzes the reversible phosphorylation of UMP to UDP	pyrH	2.7.4.22	ko:K09903	-	R00158	RC00002	AA_kinase
naiP		Putative niacin/nicotinamide transporter NaiP	4	4	1	191	904	96.0	506.0		806	1199	1100	01745	01196	00449	00685							C. limicola	EGP	Major facilitator Superfamily	-	-	-	-	-	-	MFS_1
group_1370		hypothetical protein	4	4	1	191	712	230.0	17.0	Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits	1625	1625	1625	01747	00273	00552	01253							C. limicola	D	PFAM peptidase	-	-	-	-	-	-	Peptidase_M23
